position,step,reg_gradient,preclip_total,reg_to_total,added_increment,changed_elements,native_gradient,fit_gradient,H_gradient,U_gradient,x_component_gradient,y_component_gradient,scale_relative,input_centered_to_ridge,patch_centered_to_ridge,final_centered_to_ridge,input_offdiag_mean,patch_offdiag_mean,final_offdiag_mean
11,80,7.934802508304673e-06,0.029403304681181908,0.00026986090830065574,7.934810425936143e-06,73714,0.0998135432600975,0.020672490820288658,0.09611564129590988,0.004262334201484919,3.262708250140943e-06,7.299598162275067e-07,0.0002379636052545898,0.2475791448898549,0.01550472388373256,0.46854022059746603,0.999997120603005,0.999999717164387,0.9999920929686031
11,160,8.109488922244978e-06,0.005651031620800495,0.0014350457520703505,8.10948852180415e-06,73720,0.028317498043179512,0.006147996988147497,0.031695254147052765,0.0030185366049408913,3.5064739521498687e-06,7.739758686585369e-07,0.00018424119791320175,0.2475791448898549,0.015460387748997727,0.4684965567198257,0.999997120603005,0.9999997176189149,0.9999920933426107
11,320,8.101766323938402e-06,0.00275405147112906,0.002941762856965406,8.101767651754049e-06,73726,0.011712489649653435,0.0031541278585791588,0.0130208320915699,0.0010418226011097431,3.787875947480999e-06,8.303484355320586e-07,0.00038880647025911074,0.2475791448898549,0.015380059072276575,0.46875972687292744,0.999997120603005,0.9999997184782701,0.999992090827003
12,1,9.359146887552395e-07,5.446605205535889,1.7183450120526135e-07,9.49572626552759e-07,56570,0.0013405104400590062,0.0022000926546752453,5.432421684265137,0.15355077385902405,5.474972206838123e-06,2.7487094067245576e-06,0.0020316532233686565,0.5494011209950441,0.016482751018873188,0.7036232746321808,0.9999936103773086,0.999999708055251,0.9999892501744223
12,80,3.5588906228601586e-06,0.019121594727039337,0.00018611892332534515,3.558890180890199e-06,73704,0.017672287300229073,0.005531888920813799,0.03901053965091705,0.003754744539037347,5.0290485545039535e-06,2.8463086505405904e-06,0.0006503684498089486,0.5494011209950441,0.016680827116711087,0.7054200388229502,0.9999936103773086,0.9999996987095102,0.9999892240972795
12,160,3.644298499315545e-06,0.003899162169545889,0.0009346362989923996,3.644300477894288e-06,73718,0.00962012354284525,0.0028155853506177664,0.011272200383245945,0.002333412878215313,5.11281453802883e-06,2.9585882726737255e-06,0.000779077690215134,0.5494011209950441,0.01670196560545084,0.7050434535704863,0.9999936103773086,0.9999996981344692,0.9999892314242814
12,320,3.7682774705949905e-06,0.0015544866910204291,0.002424129773746302,3.7682786505008466e-06,73721,0.004112470895051956,0.0010227474849671125,0.005023661069571972,0.0008747325628064573,5.236788146424761e-06,3.095035275822602e-06,0.0007362954016023177,0.5494011209950441,0.016716814807569202,0.7048623858088778,0.9999936103773086,0.9999996976421057,0.9999892364138513
13,1,3.827968241064655e-06,6.472039222717285,5.91462460182292e-07,3.8352327724953356e-06,67656,0.0005746545502915978,0.0007437524618580937,6.327337741851807,0.47873038053512573,5.7439767022439454e-06,1.1459298013501432e-06,0.0007289848925659808,0.22892971423403993,0.015011785059786228,0.46077036431068663,0.9999973374955513,0.9999997267354277,0.9999921909215225
13,80,1.1369879532528305e-05,0.7986934185028076,1.4235599379098097e-05,1.1369654653858018e-05,73555,1.4778412580490112,0.12342658638954163,2.2933013439178467,0.13764338195323944,6.657165636770791e-06,1.4116260690697904e-06,0.00016071307167688038,0.22892971423403993,0.016449472604626446,0.46383488477126333,0.9999973374955513,0.9999997020405357,0.9999921544173326
13,160,1.3633722862149155e-05,0.029394635930657387,0.0004638166941176416,1.3633736697715014e-05,73712,0.27665477991104126,0.03235970437526703,0.23134183883666992,0.17167451977729797,7.195211035898429e-06,1.533103515029669e-06,0.000206951915882169,0.22892971423403993,0.01691936338825925,0.4619287917545269,0.9999973374955513,0.9999996939311645,0.9999921724284931
