subset,stratum,method,mode,metric,subtype,score,edits,probes,edit_macro,probe_micro,ci_low,ci_high,activation,cap_hits,status,definition
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Robustness,症状混淆,target_or_source_semantic,29,29,0.9310344827586207,0.9310344827586207,0.8275862068965517,1.0,29,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Robustness,误导性上下文,literal,20,20,0.95,0.95,0.85,1.0,20,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Robustness,误导性上下文,target_or_source_semantic,20,20,0.95,0.95,0.85,1.0,20,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,T_Generality,ALL,literal,200,200,0.98,0.98,0.96,0.995,200,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,T_Generality,ALL,target_or_source_semantic,200,200,0.975,0.975,0.95,0.995,200,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,T_Locality,ALL,literal,200,200,1.0,1.0,1.0,1.0,0,2,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,T_Locality,ALL,target_or_source_semantic,200,200,0.21,0.21,0.155,0.265,0,2,AVAILABLE,SOURCE_REFERENCE_ACCURACY_NOT_LOCALITY
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,I_Generality,ALL,literal,164,164,0.0,0.0,0.0,0.0,0,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,I_Generality,ALL,target_or_source_semantic,164,164,0.012195121951219513,0.012195121951219513,0.0,0.03048780487804878,0,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,I_Locality,ALL,literal,67,67,1.0,1.0,1.0,1.0,0,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,I_Locality,ALL,target_or_source_semantic,67,67,0.22388059701492538,0.22388059701492538,0.13432835820895522,0.3283582089552239,0,0,AVAILABLE,SOURCE_REFERENCE_ACCURACY_NOT_LOCALITY
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,Portability,1-hop,literal,73,73,0.0,0.0,0.0,0.0,0,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
